Title,Note,URL,Tags,Comment
Kinjo,,https://www.google.com/maps/place/Kinjo/data=!4m2!3m1!1s0x89c25b964bae6643:0x30917e5a13ad8e66,🍽️ Restaurant,
Pebble Beach,,https://www.google.com/maps/place/Pebble+Beach/data=!4m2!3m1!1s0x89c25b5fa17295ff:0x5077e52991befeff,,
Red Coffee Stand,,https://www.google.com/maps/place/Red+Coffee+Stand/data=!4m2!3m1!1s0x89c25b00433422cb:0xbcaff2a8052f18bd,☕️ Cafe,
Nightmoves,,https://www.google.com/maps/place/Nightmoves/data=!4m2!3m1!1s0x89c259ad2d95ba95:0xc913b1fd717235f4,,
The River,,https://www.google.com/maps/place/The+River/data=!4m2!3m1!1s0x89c25bc21221bec3:0xaee6dadff4a216f0,,
12 Chairs Cafe,,https://www.google.com/maps/place/12+Chairs+Cafe/data=!4m2!3m1!1s0x89c2598d92069b6d:0x4fb98179ce650dfd,🍽️ Restaurant,
The Odeon,,https://www.google.com/maps/place/The+Odeon/data=!4m2!3m1!1s0x89c25a1f98b4eb4b:0xe5cb4eafb1f4b167,🍽️ Restaurant,
Tasty Hand - Pulled Noodles,,https://www.google.com/maps/place/Tasty+Hand+-+Pulled+Noodles/data=!4m2!3m1!1s0x89c25bd05aee9499:0x10f3231c69eb165b,🍽️ Restaurant,
Patisserie Tomoko,,https://www.google.com/maps/place/Patisserie+Tomoko/data=!4m2!3m1!1s0x89c2595b96142e07:0xf0afbd200c3abadc,🥨 Snack,
Martha's Country Bakery,,https://www.google.com/maps/place/Martha's+Country+Bakery/data=!4m2!3m1!1s0x89c2596089d70501:0xd47b8f9f0818b671,🥨 Snack,
Grand Street Local,,https://www.google.com/maps/place/Grand+Street+Local/data=!4m2!3m1!1s0x89c2596051940001:0xe9dd86a4f1d307fc,🛍️ Shopping,
Stella Dallas Living,,https://www.google.com/maps/place/Stella+Dallas+Living/data=!4m2!3m1!1s0x89c2595ed30a8593:0x88b456fc3dd0c6ae,🛍️ Shopping,
10 ft Single by Stella Dallas,,https://www.google.com/maps/place/10+ft+Single+by+Stella+Dallas/data=!4m2!3m1!1s0x89c259592d23653d:0xd8ce47d312cb3b61,🛍️ Shopping,
Prem Thai Restaurant and Noodle Bar,,https://www.google.com/maps/place/Prem+Thai+Restaurant+and+Noodle+Bar/data=!4m2!3m1!1s0x89c25b0035e05b59:0xb8b165ac15af0d3f,🍽️ Restaurant,
SALSWEE,,https://www.google.com/maps/place/SALSWEE/data=!4m2!3m1!1s0x89c259be40a4b191:0x29821fd0893e8611,☕️ Cafe,
Ayada,,https://www.google.com/maps/place/Ayada/data=!4m2!3m1!1s0x89c25faa929e13a5:0xff28104863c530c7,🍽️ Restaurant,
Conwell Coffee & Cocktail Hall,,https://www.google.com/maps/place/Conwell+Coffee+%26+Cocktail+Hall/data=!4m2!3m1!1s0x89c25bfb38013381:0xa2be61274a2c8dd5,☕️ Cafe,
Blue Brown Cafe,,https://www.google.com/maps/place/Blue+Brown+Cafe/data=!4m2!3m1!1s0x89c259af86b1342b:0x56ae054bb9661039,☕️ Cafe,
Coffee Project New York | East Village,,https://www.google.com/maps/place/Coffee+Project+New+York+%7C+East+Village/data=!4m2!3m1!1s0x89c2599b5a24d7fd:0x9e354f6cf514b9fc,☕️ Cafe,
Arete Studios,,https://www.google.com/maps/place/Arete+Studios/data=!4m2!3m1!1s0x89c259dd10808259:0x67c3394122955bd2,🛍️ Shopping,
Mimi's Frozen Yogurt,,https://www.google.com/maps/place/Mimi's+Frozen+Yogurt/data=!4m2!3m1!1s0x89c2595a6cbbea7d:0x4503d02d97943947,🥨 Snack,
Moono,,https://www.google.com/maps/place/Moono/data=!4m2!3m1!1s0x89c259fa034b6069:0x1affa8a2058605f,🍽️ Restaurant,
GRIND THE NYC COFFEE SHOP & BAGEL HOUSE,,https://www.google.com/maps/place/GRIND+THE+NYC+COFFEE+SHOP+%26+BAGEL+HOUSE/data=!4m2!3m1!1s0x89c259125a931087:0x3d471d4575240620,☕️ Cafe,
Salt Bread Ko,,https://www.google.com/maps/place/Salt+Bread+Ko/data=!4m2!3m1!1s0x89c259d12f2967e9:0x49476d62b6786bf0,🥨 Snack,
Taishoken NYC,,https://www.google.com/maps/place/Taishoken+NYC/data=!4m2!3m1!1s0x89c2597b8c707a47:0xf2eb1476f412d9e9,🍽️ Restaurant,
The Back Room,,https://www.google.com/maps/place/The+Back+Room/data=!4m2!3m1!1s0x89c259811e7d8d9d:0xac44d532c045cf7e,,
Lucinda's,,https://www.google.com/maps/place/Lucinda's/data=!4m2!3m1!1s0x89c25945c40e498d:0x21ce7a10e7fab6e2,,
The Ripple Room,,https://www.google.com/maps/place/The+Ripple+Room/data=!4m2!3m1!1s0x89c259004fb13eab:0x5e453c91bc0af036,,
Union Pool,,https://www.google.com/maps/place/Union+Pool/data=!4m2!3m1!1s0x89c259596cfc174d:0x86b6b9e123c6dd36,,
Kaew Jao Jorm,,https://www.google.com/maps/place/Kaew+Jao+Jorm/data=!4m2!3m1!1s0x89c2594c24c1fac9:0xcadc273e181c0f3,🍽️ Restaurant,
The Django,,https://www.google.com/maps/place/The+Django/data=!4m2!3m1!1s0x89c2598a97ed08eb:0xd5c7bd06918aae0b,,
Thx It's Thrifted,,https://www.google.com/maps/place/Thx+It's+Thrifted/data=!4m2!3m1!1s0x89c25bd789eab71d:0x398fe9a98cc2fb92,🛍️ Shopping,
The Mandarin,,https://www.google.com/maps/place/The+Mandarin/data=!4m2!3m1!1s0x89c25bec55f61dc3:0xf532111af3823914,☕️ Cafe,
Dream Baby Bar and Cocktail Parlour,,https://www.google.com/maps/place/Dream+Baby+Bar+and+Cocktail+Parlour/data=!4m2!3m1!1s0x89c2597706cb3b0d:0x783bfb42431af1a2,🕺 Club,
Jewel Box,,https://www.google.com/maps/place/Jewel+Box/data=!4m2!3m1!1s0x89c259000b4c47fd:0x883d6bf63b1bad85,🕺 Club,
Rice & Miso,,https://www.google.com/maps/place/Rice+%26+Miso/data=!4m2!3m1!1s0x89c25a52c63b21e7:0xab0102996c62bba4,🍽️ Restaurant,
Michele Varian Shop & Design,,https://www.google.com/maps/place/Michele+Varian+Shop+%26+Design/data=!4m2!3m1!1s0x89c2598972ea084d:0x3bba3777c72f1ffa,🛍️ Shopping,
Humble House,,https://www.google.com/maps/place/Humble+House/data=!4m2!3m1!1s0x89c25be1ea1e8037:0x618795897a4906d9,🛍️ Shopping,
Foyer Vintage Store,,https://www.google.com/maps/place/Foyer+Vintage+Store/data=!4m2!3m1!1s0x89c25a4d6b342e2d:0x8bb82c25688e57d5,🛍️ Shopping,
PORTA,,https://www.google.com/maps/place/PORTA/data=!4m2!3m1!1s0x89c25b76d04b1d47:0x750cac0c3fb72cc3,🛍️ Shopping,
Horseman Antiques,,https://www.google.com/maps/place/Horseman+Antiques/data=!4m2!3m1!1s0x89c25a4da2d26867:0x9cc94e3a6af9484e,🛍️ Shopping,
Public Records,,https://www.google.com/maps/place/Public+Records/data=!4m2!3m1!1s0x89c25ba1b892bd29:0xfb7fedf54f42e4c8,🍽️ Restaurant,
Still Life,,https://www.google.com/maps/place/Still+Life/data=!4m2!3m1!1s0x89c25b168af3369f:0x2c9cfa0797ca40b4,☕️ Cafe,
Peter Luger Steak House,,https://www.google.com/maps/place/Peter+Luger+Steak+House/data=!4m2!3m1!1s0x89c25bdedbcaf647:0x469a1d01423a03f2,🍽️ Restaurant,
Canyon Coffee,,https://www.google.com/maps/place/Canyon+Coffee/data=!4m2!3m1!1s0x89c25b0045b2478f:0xbcfd8bb43923ac11,☕️ Cafe,
New York Memento,,https://www.google.com/maps/place/New+York+Memento/data=!4m2!3m1!1s0x89c2590056a45c23:0x81e295c14a9a98b2,🤡 Fun,
H Mart,,https://www.google.com/maps/place/H+Mart/data=!4m2!3m1!1s0x89c259a8e486e29b:0x1d365158f34a60cd,🤡 Fun,
Pikchi Photobooth,,https://www.google.com/maps/place/Pikchi+Photobooth/data=!4m2!3m1!1s0x89c259f24554faaf:0x8d696bb1ffc72c7b,🤡 Fun,
HOM Cafe & Wine,,https://www.google.com/maps/place/HOM+Cafe+%26+Wine/data=!4m2!3m1!1s0x89c25b5ce01b3da3:0x2a4343bf79d4cc46,,
Un Posto Italiano,,https://www.google.com/maps/place/Un+Posto+Italiano/data=!4m2!3m1!1s0x89c25baae90132bb:0xba0cdb23c2b8828a,☕️ Cafe,
Mr. Boddington's Studio,,https://www.google.com/maps/place/Mr.+Boddington's+Studio/data=!4m2!3m1!1s0x89c25abf122f65c3:0xa65f3329833f1f4a,🤡 Fun,
BLOK HILL,,https://www.google.com/maps/place/BLOK+HILL/data=!4m2!3m1!1s0x89c25b0741f5fe89:0xddbf7539351696f8,🛍️ Shopping,
The Analog Stationer,,https://www.google.com/maps/place/The+Analog+Stationer/data=!4m2!3m1!1s0x89c25b65e59e1fad:0x226ffa48a6f3c44a,🤡 Fun,
